ticker,name,market,basis_date,score_status,score_total,score_band,score_financial,score_valuation,score_growth_value,score_price_position,score_liquidity_elasticity,score_supply_disclosure,missing_component_count,missing_components,warning_reasons,raw_source_mode,financial_sector,component_points_json
000640,동아쏘시오홀딩스,KOSPI,2026-09-11,LIMITED,,,,,,,,,1,수급·공시부담:SUPPLY_STATUS_LIMITED,SECTOR_STRUCTURAL_NONCOMPARABILITY,DIRECT,true,"{""매출 성장과 안정성"":4.5,""영업이익 성장과 흑자 여부"":5.0,""순이익 흐름"":2.0,""영업이익률"":3.0,""ROE"":2.0,""부채비율"":1.5,""영업현금흐름"":2.0,""PER"":7.5,""PBR"":5.0,""EV/EBITDA"":2.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 매출 성장률"":3.5,""최근 3년 영업이익 성장률"":3.0,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":1.5,""20일 평균 거래대금과 거래량"":1.5,""하루평균 절대등락률"":4.0}"
000650,천일고속,KOSPI,2026-09-11,LIMITED,,,,,,,,,3,PER:MISSING_PER;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":4.5,""영업이익 성장과 흑자 여부"":0.0,""순이익 흐름"":0.0,""영업이익률"":0.0,""ROE"":0.0,""부채비율"":0.0,""영업현금흐름"":1.5,""PBR"":0.5,""EV/EBITDA"":0.0,""PSR 또는 대체 가치지표"":0.5,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":0.0,""흑자 지속성과 이익 안정성"":0.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":0.0,""기간 저가·고가 대비 현재위치"":3.5,""과열·급락 위험"":2.0,""20일 평균 거래대금과 거래량"":0.5,""하루평균 절대등락률"":2.5}"
000810,삼성화재,KOSPI,2026-09-11,LIMITED,,,,,,,,,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,SECTOR_STRUCTURAL_NONCOMPARABILITY,UNAVAILABLE,true,"{""영업이익 성장과 흑자 여부"":4.0,""순이익 흐름"":2.5,""영업이익률"":4.0,""ROE"":2.0,""부채비율"":1.5,""영업현금흐름"":2.0,""PER"":6.5,""PBR"":4.5,""EV/EBITDA"":2.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 영업이익 성장률"":2.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":4.0,""3개월 가격흐름"":2.5,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":3.0,""20일 평균 거래대금과 거래량"":5.0,""하루평균 절대등락률"":4.0}"
001020,페이퍼코리아,KOSPI,2026-09-11,LIMITED,,,,,,,,,3,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":1.5,""영업이익 성장과 흑자 여부"":5.5,""순이익 흐름"":2.0,""영업이익률"":2.0,""ROE"":1.0,""부채비율"":2.5,""영업현금흐름"":2.5,""PER"":4.0,""PBR"":3.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":0.0,""최근 3년 영업이익 성장률"":0.0,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":1.5,""순현금·기업가치 상태"":0.0,""1개월 가격흐름"":4.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":4.0,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":3.0}"
001045,CJ우,KOSPI,2026-09-11,LIMITED,,,,,,,,,12,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;수급·공시부담:SUPPLY_STATUS_LIMITED,SECTOR_STRUCTURAL_NONCOMPARABILITY,UNAVAILABLE,true,"{""부채비율"":1.5,""영업현금흐름"":2.0,""EV/EBITDA"":2.0,""PSR 또는 대체 가치지표"":1.5,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":5.0,""과열·급락 위험"":1.0,""20일 평균 거래대금과 거래량"":0.5,""하루평균 절대등락률"":2.5}"
001060,JW중외제약,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":4.0,""영업이익 성장과 흑자 여부"":6.0,""순이익 흐름"":3.0,""영업이익률"":3.5,""ROE"":3.5,""부채비율"":2.5,""영업현금흐름"":3.5,""PER"":8.0,""PBR"":3.5,""PSR 또는 대체 가치지표"":2.5,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":1.0,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":3.0,""3개월 가격흐름"":2.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":1.5,""20일 평균 거래대금과 거래량"":1.5,""하루평균 절대등락률"":4.0}"
001420,태원물산,KOSPI,2026-09-11,LIMITED,,,,,,,,,5,PER:MISSING_PER;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":5.0,""영업이익 성장과 흑자 여부"":0.0,""순이익 흐름"":0.0,""영업이익률"":0.0,""ROE"":0.0,""부채비율"":3.0,""영업현금흐름"":0.0,""PBR"":3.0,""EV/EBITDA"":0.0,""PSR 또는 대체 가치지표"":2.5,""최근 3년 매출 성장률"":4.0,""최근 3년 영업이익 성장률"":0.0,""흑자 지속성과 이익 안정성"":0.0,""순현금·기업가치 상태"":1.5,""1개월 가격흐름"":3.0,""3개월 가격흐름"":3.0,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":3.0}"
001440,대한전선,KOSPI,2026-09-11,LIMITED,,,,,,,,,3,PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":5.0,""영업이익 성장과 흑자 여부"":7.0,""순이익 흐름"":1.5,""영업이익률"":2.0,""ROE"":0.0,""부채비율"":2.0,""영업현금흐름"":0.0,""PBR"":2.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 매출 성장률"":3.5,""최근 3년 영업이익 성장률"":4.0,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":3.0,""3개월 가격흐름"":0.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":5.0,""하루평균 절대등락률"":4.0}"
001527,동양2우B,KOSPI,2026-09-11,LIMITED,,,,,,,,,19,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,,UNAVAILABLE,false,"{""1개월 가격흐름"":1.0,""3개월 가격흐름"":0.5,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":4.0}"
001530,DI동일,KOSPI,2026-09-11,LIMITED,,,,,,,,,17,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,UNAVAILABLE,false,"{""1개월 가격흐름"":4.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":1.5,""하루평균 절대등락률"":4.0}"
001560,제일연마,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":2.5,""영업이익 성장과 흑자 여부"":7.0,""순이익 흐름"":1.5,""영업이익률"":3.0,""ROE"":2.0,""부채비율"":3.0,""영업현금흐름"":3.5,""PER"":5.0,""PBR"":5.0,""PSR 또는 대체 가치지표"":2.5,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":2.0,""1개월 가격흐름"":3.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":2.5}"
001770,SHD,KOSPI,2026-09-11,LIMITED,,,,,,,,,6,PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":2.5,""영업이익 성장과 흑자 여부"":0.5,""순이익 흐름"":0.5,""영업이익률"":0.0,""ROE"":0.0,""부채비율"":2.5,""영업현금흐름"":0.0,""PBR"":3.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":3.0,""흑자 지속성과 이익 안정성"":0.5,""순현금·기업가치 상태"":0.0,""1개월 가격흐름"":3.5,""3개월 가격흐름"":0.0,""20일 평균 거래대금과 거래량"":2.0,""하루평균 절대등락률"":0.5}"
002210,동성제약,KOSPI,2026-09-11,LIMITED,,,,,,,,,6,PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":0.0,""영업이익 성장과 흑자 여부"":0.0,""순이익 흐름"":0.0,""영업이익률"":0.0,""ROE"":0.0,""부채비율"":2.5,""영업현금흐름"":0.0,""PBR"":3.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":0.0,""흑자 지속성과 이익 안정성"":0.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":2.5,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":4.0}"
002380,KCC,KOSPI,2026-09-11,LIMITED,,,,,,,,,17,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,UNAVAILABLE,false,"{""1개월 가격흐름"":4.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":3.0,""20일 평균 거래대금과 거래량"":4.0,""하루평균 절대등락률"":4.0}"
002420,우양피앤엘,KOSPI,2026-09-11,LIMITED,,,,,,,,,3,PER:MISSING_PER;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":4.0,""영업이익 성장과 흑자 여부"":0.0,""순이익 흐름"":0.0,""영업이익률"":0.0,""ROE"":0.0,""부채비율"":2.0,""영업현금흐름"":0.0,""PBR"":1.0,""EV/EBITDA"":0.0,""PSR 또는 대체 가치지표"":0.0,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":0.0,""흑자 지속성과 이익 안정성"":0.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":0.5,""20일 평균 거래대금과 거래량"":1.0,""하루평균 절대등락률"":4.0}"
002450,삼익악기,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":1.0,""영업이익 성장과 흑자 여부"":7.0,""순이익 흐름"":3.0,""영업이익률"":3.0,""ROE"":3.5,""부채비율"":2.5,""영업현금흐름"":3.5,""PER"":8.0,""PBR"":5.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":0.0,""1개월 가격흐름"":2.0,""3개월 가격흐름"":1.5,""기간 저가·고가 대비 현재위치"":5.0,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":0.5,""하루평균 절대등락률"":2.5}"
002990,금호건설,KOSPI,2026-09-11,LIMITED,,,,,,,,,5,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":2.5,""영업이익 성장과 흑자 여부"":6.0,""순이익 흐름"":3.0,""영업이익률"":1.0,""ROE"":4.0,""부채비율"":0.5,""영업현금흐름"":1.5,""PER"":6.5,""PBR"":2.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":2.0,""1개월 가격흐름"":3.5,""3개월 가격흐름"":1.5,""20일 평균 거래대금과 거래량"":5.0,""하루평균 절대등락률"":3.0}"
003230,삼양식품,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":5.0,""영업이익 성장과 흑자 여부"":6.0,""순이익 흐름"":3.0,""영업이익률"":3.5,""ROE"":3.5,""부채비율"":2.5,""영업현금흐름"":3.5,""PER"":5.5,""PBR"":1.0,""PSR 또는 대체 가치지표"":0.5,""최근 3년 매출 성장률"":4.0,""최근 3년 영업이익 성장률"":4.0,""최근 분기 실적 가속·둔화"":1.5,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":3.0,""3개월 가격흐름"":2.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":1.0,""20일 평균 거래대금과 거래량"":5.0,""하루평균 절대등락률"":4.0}"
003280,흥아해운,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":2.5,""영업이익 성장과 흑자 여부"":2.0,""순이익 흐름"":1.5,""영업이익률"":2.0,""ROE"":1.0,""부채비율"":2.5,""영업현금흐름"":4.0,""PER"":1.0,""PBR"":3.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.5,""1개월 가격흐름"":4.0,""3개월 가격흐름"":2.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":4.5,""하루평균 절대등락률"":4.0}"
003490,대한항공,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,PER:MISSING_PER;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":4.5,""영업이익 성장과 흑자 여부"":2.0,""순이익 흐름"":1.5,""영업이익률"":1.0,""ROE"":0.0,""부채비율"":0.5,""영업현금흐름"":3.5,""PBR"":3.0,""EV/EBITDA"":4.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":4.0,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":0.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":0.5,""1개월 가격흐름"":4.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":3.0,""20일 평균 거래대금과 거래량"":5.0,""하루평균 절대등락률"":4.0}"
003495,대한항공우,KOSPI,2026-09-11,LIMITED,,,,,,,,,13,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:OK:OK;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:OK;수급·공시부담:SUPPLY_STATUS_LIMITED,,PREFERRED_COMMON:003490,false,"{""영업현금흐름"":3.5,""최근 3년 매출 성장률"":4.0,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":0.0,""1개월 가격흐름"":3.0,""3개월 가격흐름"":2.5,""기간 저가·고가 대비 현재위치"":5.0,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":0.5,""하루평균 절대등락률"":2.5}"
003550,LG,KOSPI,2026-09-11,LIMITED,,,,,,,,,1,수급·공시부담:SUPPLY_STATUS_LIMITED,SECTOR_STRUCTURAL_NONCOMPARABILITY,DIRECT,true,"{""매출 성장과 안정성"":4.0,""영업이익 성장과 흑자 여부"":4.0,""순이익 흐름"":2.5,""영업이익률"":3.5,""ROE"":2.0,""부채비율"":1.5,""영업현금흐름"":2.0,""PER"":7.5,""PBR"":5.0,""EV/EBITDA"":2.0,""PSR 또는 대체 가치지표"":1.5,""최근 3년 매출 성장률"":0.5,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":3.0,""3개월 가격흐름"":2.5,""기간 저가·고가 대비 현재위치"":4.0,""과열·급락 위험"":1.5,""20일 평균 거래대금과 거래량"":5.0,""하루평균 절대등락률"":4.0}"
003580,HLB글로벌,KOSPI,2026-09-11,LIMITED,,,,,,,,,4,PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":4.5,""영업이익 성장과 흑자 여부"":0.0,""순이익 흐름"":0.0,""영업이익률"":0.0,""ROE"":0.0,""부채비율"":2.5,""영업현금흐름"":0.0,""PBR"":3.0,""PSR 또는 대체 가치지표"":2.5,""최근 3년 매출 성장률"":3.5,""최근 3년 영업이익 성장률"":0.0,""흑자 지속성과 이익 안정성"":0.0,""순현금·기업가치 상태"":1.5,""1개월 가격흐름"":3.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":2.5,""20일 평균 거래대금과 거래량"":0.0,""하루평균 절대등락률"":4.0}"
004170,신세계,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":4.5,""영업이익 성장과 흑자 여부"":6.0,""순이익 흐름"":3.0,""영업이익률"":3.0,""ROE"":2.0,""부채비율"":2.0,""영업현금흐름"":3.5,""PER"":7.5,""PBR"":5.0,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":0.5,""최근 분기 실적 가속·둔화"":1.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":0.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":0.0,""기간 저가·고가 대비 현재위치"":3.5,""과열·급락 위험"":1.5,""20일 평균 거래대금과 거래량"":5.5,""하루평균 절대등락률"":4.0}"
004370,농심,KOSPI,2026-09-11,LIMITED,,,,,,,,,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":4.5,""영업이익 성장과 흑자 여부"":6.0,""순이익 흐름"":3.0,""영업이익률"":2.0,""ROE"":2.0,""부채비율"":3.0,""영업현금흐름"":2.5,""PER"":6.5,""PBR"":4.5,""PSR 또는 대체 가치지표"":3.0,""최근 3년 매출 성장률"":1.5,""최근 3년 영업이익 성장률"":1.0,""최근 분기 실적 가속·둔화"":3.0,""흑자 지속성과 이익 안정성"":2.0,""순현금·기업가치 상태"":1.5,""1개월 가격흐름"":3.0,""3개월 가격흐름"":3.0,""기간 저가·고가 대비 현재위치"":3.0,""과열·급락 위험"":1.5,""20일 평균 거래대금과 거래량"":3.5,""하루평균 절대등락률"":4.0}"
004545,깨끗한나라우,KOSPI,2026-09-11,LIMITED,,,,,,,,,19,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,,UNAVAILABLE,false,"{""1개월 가격흐름"":1.0,""3개월 가격흐름"":0.0,""20일 평균 거래대금과 거래량"":1.0,""하루평균 절대등락률"":4.0}"
004870,티웨이홀딩스,KOSPI,2026-09-11,LIMITED,,,,,,,,,6,PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_STATUS_LIMITED,,DIRECT,false,"{""매출 성장과 안정성"":0.0,""영업이익 성장과 흑자 여부"":0.0,""순이익 흐름"":0.0,""영업이익률"":0.0,""ROE"":0.0,""부채비율"":3.0,""영업현금흐름"":0.0,""PBR"":3.0,""PSR 또는 대체 가치지표"":0.0,""최근 3년 매출 성장률"":0.0,""최근 3년 영업이익 성장률"":0.0,""흑자 지속성과 이익 안정성"":0.0,""순현금·기업가치 상태"":1.0,""1개월 가격흐름"":1.0,""3개월 가격흐름"":1.5,""20일 평균 거래대금과 거래량"":0.5,""하루평균 절대등락률"":2.5}"
